codigo_dane,anio,semana_epi,fecha_semana,nivel_alerta,prediccion_casos_t1,desviacion_prediccion_pct,variable_causal,media_hist_mun_sem,shap_max_value
05001,2018,1,2018-01-01,ALERTA_VERDE,7.63,-15.22,casos_ira_total,9.0,2.2551352977752686
05001,2018,2,2018-01-08,ALERTA_VERDE,6.78,-11.57,casos_ira_lag1,7.666666666666667,1.5413482189178467
05001,2018,3,2018-01-15,ALERTA_VERDE,6.11,1.83,casos_ira_lag1,6.0,1.5013593435287476
05001,2018,4,2018-01-22,ALERTA_NARANJA,6.54,40.14,casos_ira_lag1,4.666666666666667,1.6063908338546753
05001,2018,5,2018-01-29,ALERTA_VERDE,5.63,12.6,casos_ira_lag1,5.0,1.974756121635437
05001,2018,6,2018-02-05,ALERTA_VERDE,5.47,-28.65,media_hist_mun_sem,7.666666666666667,2.2636892795562744
05001,2018,7,2018-02-12,ALERTA_VERDE,5.61,-1.0,casos_ira_total,5.666666666666667,1.9696683883666992
05001,2018,8,2018-02-19,ALERTA_VERDE,5.84,3.06,casos_ira_total,5.666666666666667,1.3686326742172241
05001,2018,9,2018-02-26,ALERTA_VERDE,7.78,6.09,casos_ira_lag1,7.333333333333333,1.9434746503829956
05001,2018,10,2018-03-05,ALERTA_VERDE,3.86,-58.64,media_hist_mun_sem,9.333333333333334,1.4142123460769653
05001,2018,11,2018-03-12,ALERTA_VERDE,4.47,-29.42,casos_ira_lag1,6.333333333333333,2.495105028152466
05001,2018,12,2018-03-19,ALERTA_VERDE,2.71,-61.29,media_hist_mun_sem,7.0,1.0863518714904785
05001,2018,13,2018-03-26,ALERTA_VERDE,5.2,4.0,media_hist_mun_sem,5.0,1.1437361240386963
05001,2018,14,2018-04-02,ALERTA_VERDE,6.0,-18.18,casos_ira_total,7.333333333333333,1.7960984706878662
05001,2018,15,2018-04-09,ALERTA_VERDE,5.94,-25.75,casos_ira_lag1,8.0,1.5572290420532227
05001,2018,16,2018-04-16,ALERTA_VERDE,4.37,-27.17,casos_ira_lag1,6.0,1.9772577285766602
05001,2018,17,2018-04-23,ALERTA_VERDE,3.4,-27.14,media_hist_mun_sem,4.666666666666667,0.9941858053207397
05001,2018,18,2018-04-30,ALERTA_VERDE,4.88,4.57,media_hist_mun_sem,4.666666666666667,1.065410852432251
05001,2018,19,2018-05-07,ALERTA_VERDE,5.2,-22.0,casos_ira_total,6.666666666666667,1.9186358451843262
05001,2018,20,2018-05-14,ALERTA_VERDE,5.12,-43.11,casos_ira_lag1,9.0,1.7819435596466064
05001,2018,21,2018-05-21,ALERTA_NARANJA,7.34,46.8,casos_ira_lag1,5.0,2.3775129318237305
