codigo_dane,anio,semana_epi,temperatura_avg,humedad_avg,precipitacion_sum,presion_avg,pm10_avg,pm25_avg,fuente_pm,metodo_imputacion
05001,2018,1,19.193,75.672,102.942,852.254,32.634,21.065,IMPUTADO_PA,directo
05001,2018,2,19.028,78.116,119.844,851.554,46.135,22.951,IMPUTADO_PA,directo
05001,2018,3,19.336,74.83,39.298,851.071,30.847,11.523,IMPUTADO_PA,directo
05001,2018,4,20.614,69.058,3.554,849.173,37.567,20.317,IMPUTADO_PA,directo
05001,2018,5,20.944,72.929,55.019,849.233,33.908,19.705,IMPUTADO_PA,directo
05001,2018,6,20.973,67.346,0.202,850.429,45.025,23.496,IMPUTADO_PA,directo
05001,2018,7,21.399,70.702,58.16,851.486,47.407,20.056,IMPUTADO_PA,directo
05001,2018,8,20.609,66.843,22.154,852.078,33.866,21.754,IMPUTADO_PA,directo
05001,2018,9,21.318,65.863,7.182,851.597,33.187,21.336,IMPUTADO_PA,directo
05001,2018,10,21.892,62.291,8.573,850.202,39.383,23.492,IMPUTADO_PA,directo
05001,2018,11,21.334,66.957,12.459,850.924,35.081,18.994,IMPUTADO_PA,directo
05001,2018,12,19.968,77.222,124.558,850.584,38.67,24.948,IMPUTADO_PA,directo
05001,2018,13,19.541,77.937,157.524,850.682,37.323,17.964,IMPUTADO_PA,directo
05001,2018,14,19.187,76.613,76.149,851.594,42.214,22.028,IMPUTADO_PA,directo
05001,2018,15,19.221,78.798,140.014,852.352,42.66,21.522,IMPUTADO_PA,directo
05001,2018,16,20.688,71.898,33.08,851.671,36.953,28.836,IMPUTADO_PA,directo
05001,2018,17,19.746,78.378,110.944,852.097,34.176,17.609,IMPUTADO_PA,directo
05001,2018,18,19.594,79.286,97.144,852.241,47.419,22.382,IMPUTADO_PA,directo
05001,2018,19,18.887,83.052,235.891,852.981,33.996,19.294,IMPUTADO_PA,directo
05001,2018,20,19.369,79.518,174.891,851.62,44.158,16.289,IMPUTADO_PA,directo
05001,2018,21,20.285,77.199,90.48,851.75,43.426,22.92,IMPUTADO_PA,directo
05001,2018,22,20.248,77.331,124.488,851.464,41.306,16.961,IMPUTADO_PA,directo
05001,2018,23,21.702,70.223,1.981,851.172,41.214,20.27,IMPUTADO_PA,directo
05001,2018,24,21.073,70.301,40.981,852.302,41.247,23.462,IMPUTADO_PA,directo
05001,2018,25,20.966,68.205,65.938,852.244,40.184,22.648,IMPUTADO_PA,directo
05001,2018,26,19.642,74.077,35.029,851.657,44.026,20.999,IMPUTADO_PA,directo
05001,2018,27,20.839,69.685,45.87,851.012,37.544,13.612,IMPUTADO_PA,directo
05001,2018,28,21.994,60.287,2.033,851.278,35.368,17.786,IMPUTADO_PA,directo
05001,2018,29,21.145,65.176,18.116,851.626,49.914,18.612,IMPUTADO_PA,directo
05001,2018,30,18.926,75.911,28.7,851.213,46.323,16.114,IMPUTADO_PA,directo
05001,2018,31,18.064,79.463,34.6,850.8,37.44,12.657,IMPUTADO_PA,directo
05001,2018,32,21.657,54.146,0.033,851.657,43.719,20.465,IMPUTADO_PA,directo
05001,2018,33,20.106,67.142,38.207,852.105,45.131,22.785,IMPUTADO_PA,directo
05001,2018,34,21.934,58.525,9.211,851.534,36.571,18.301,IMPUTADO_PA,directo
05001,2018,35,21.441,64.527,28.06,851.183,38.419,23.406,IMPUTADO_PA,directo
05001,2018,36,19.648,75.643,167.208,851.484,31.998,14.38,IMPUTADO_PA,directo
05001,2018,37,19.547,77.711,101.313,851.534,43.112,15.887,IMPUTADO_PA,directo
