fecha_semana,codigo_dane,anio,semana_epi,casos_ira_total,edad_promedio,rezago_reporte_dias,periodo_pandemia,pct_regimen_contributivo,pct_regimen_especial_excepcion,pct_regimen_otros,pct_regimen_subsidiado
2018-01-01,05001,2018,1,7,0.0,8,False,0.7142857142857143,0.0,0.0,0.2857142857142857
2018-01-01,05034,2018,1,1,0.0,6,False,0.0,0.0,0.0,1.0
2018-01-08,05001,2018,2,8,0.0,5,False,0.375,0.0,0.0,0.625
2018-01-08,05697,2018,2,1,0.0,6,False,0.0,0.0,0.0,1.0
2018-01-08,05856,2018,2,1,0.0,7,False,1.0,0.0,0.0,0.0
2018-01-15,05001,2018,3,6,0.0,6,False,0.6666666666666666,0.0,0.0,0.3333333333333333
2018-01-15,05045,2018,3,1,0.0,4,False,0.0,0.0,0.0,1.0
2018-01-22,05001,2018,4,6,0.0,6,False,0.5,0.0,0.0,0.5
2018-01-22,05034,2018,4,1,0.0,5,False,0.0,0.0,0.0,1.0
2018-01-22,05079,2018,4,1,0.0,7,False,1.0,0.0,0.0,0.0
2018-01-22,05321,2018,4,1,0.0,12,False,1.0,0.0,0.0,0.0
2018-01-22,05756,2018,4,1,0.0,3,False,0.0,0.0,0.0,1.0
2018-01-29,05001,2018,5,3,0.0,48,False,0.3333333333333333,0.0,0.0,0.6666666666666666
2018-01-29,05308,2018,5,1,0.0,7,False,1.0,0.0,0.0,0.0
2018-01-29,05697,2018,5,1,0.0,11,False,1.0,0.0,0.0,0.0
2018-02-05,05001,2018,6,3,0.0,4,False,0.6666666666666666,0.0,0.0,0.3333333333333333
2018-02-05,05129,2018,6,1,0.0,7,False,1.0,0.0,0.0,0.0
2018-02-05,05212,2018,6,2,0.0,6,False,0.0,0.0,0.0,1.0
2018-02-12,05000,2018,7,1,0.0,8,False,0.0,0.0,0.0,1.0
2018-02-12,05001,2018,7,6,0.0,9,False,0.5,0.0,0.0,0.5
2018-02-12,05234,2018,7,1,0.0,9,False,1.0,0.0,0.0,0.0
2018-02-19,05001,2018,8,5,0.0,6,False,0.4,0.0,0.0,0.6
2018-02-26,05001,2018,9,4,0.0,10,False,0.25,0.0,0.0,0.75
