codigo_dane,anio,semana_epi,fecha_semana,casos_ira_total,tasa_ira_100k,pm25_avg,pm10_avg,temperatura_avg,humedad_avg,precipitacion_sum,presion_avg,fuente_pm,pm25_lag1,pm25_lag2,casos_ira_lag1,icv_score,nbi,ipm_pct,icv_hacinamiento,icv_menores_6,icv_seg_social,pct_vivienda_acueducto,icv_paredes,icv_pisos,edad_promedio,rezago_reporte_dias,pct_regimen_contributivo,pct_regimen_especial_excepcion,pct_regimen_otros,pct_regimen_subsidiado,periodo_pandemia,subregion,poblacion_total,ipt_score,nivel_riesgo
05001,2018,1,2018-01-01,7,0.2884,21.065,32.634,19.193,75.672,102.942,852.254,IMPUTADO_PA,,,,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,8.0,0.7142857142857143,0.0,0.0,0.2857142857142857,False,Valle de Aburrá,2427133.0,58.23,MEDIO
05001,2018,2,2018-01-08,8,0.3296,22.951,46.135,19.028,78.116,119.844,851.554,IMPUTADO_PA,21.065,,7.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,5.0,0.375,0.0,0.0,0.625,False,Valle de Aburrá,2427133.0,63.17,MEDIO
05001,2018,3,2018-01-15,6,0.2472,11.523,30.847,19.336,74.83,39.298,851.071,IMPUTADO_PA,22.951,21.065,8.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,6.0,0.6666666666666666,0.0,0.0,0.3333333333333333,False,Valle de Aburrá,2427133.0,15.64,BAJO
05001,2018,4,2018-01-22,6,0.2472,20.317,37.567,20.614,69.058,3.554,849.173,IMPUTADO_PA,11.523,22.951,6.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,6.0,0.5,0.0,0.0,0.5,False,Valle de Aburrá,2427133.0,54.38,MEDIO
05001,2018,5,2018-01-29,3,0.1236,19.705,33.908,20.944,72.929,55.019,849.233,IMPUTADO_PA,20.317,11.523,6.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,25.819999999999936,0.3333333333333333,0.0,0.0,0.6666666666666666,False,Valle de Aburrá,2427133.0,40.4,MEDIO
05001,2018,6,2018-02-05,3,0.1236,23.496,45.025,20.973,67.346,0.202,850.429,IMPUTADO_PA,19.705,20.317,3.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,4.0,0.6666666666666666,0.0,0.0,0.3333333333333333,False,Valle de Aburrá,2427133.0,47.05,MEDIO
05001,2018,7,2018-02-12,6,0.2472,20.056,47.407,21.399,70.702,58.16,851.486,IMPUTADO_PA,23.496,19.705,3.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,9.0,0.5,0.0,0.0,0.5,False,Valle de Aburrá,2427133.0,53.45,MEDIO
05001,2018,8,2018-02-19,5,0.206,21.754,33.866,20.609,66.843,22.154,852.078,IMPUTADO_PA,20.056,23.496,6.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,6.0,0.4,0.0,0.0,0.6,False,Valle de Aburrá,2427133.0,54.65,MEDIO
05001,2018,9,2018-02-26,4,0.1648,21.336,33.187,21.318,65.863,7.182,851.597,IMPUTADO_PA,21.754,20.056,5.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,10.0,0.25,0.0,0.0,0.75,False,Valle de Aburrá,2427133.0,46.33,MEDIO
05001,2018,10,2018-03-05,10,0.412,23.492,39.383,21.892,62.291,8.573,850.202,IMPUTADO_PA,21.336,21.754,4.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,8.0,0.4,0.0,0.2,0.4,False,Valle de Aburrá,2427133.0,73.71,ALTO
